Kraj,Okres,Hlasy,Procenta,KandidatkaNazev,KandidatkaCislo,URL
2,2108,458,0.99,Strana svobodných občanů,25,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2108
2,2108,10841,23.56,Občanská demokratická strana,26,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2108
2,2109,186,0.24,OBČANÉ.CZ,1,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2109
2,2109,27,0.03,Liberálové.CZ,2,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2109
2,2109,8906,11.92,Věci veřejné,4,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2109
2,2109,26,0.03,Konzervativní strana,5,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2109
2,2109,5584,7.47,Komunistická str.Čech a Moravy,6,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2109
2,2109,99,0.13,Koruna Česká (monarch.strana),7,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2109
2,2109,10412,13.93,Česká str.sociálně demokrat.,9,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2109
2,2109,93,0.12,Sdruž.pro rep.-Republ.str.Čsl.,11,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=2&xnumnuts=2109
