Kraj,Hlasy,Procenta,KandidatkaNazev,KandidatkaCislo,URL
10,16484,6.08,Strana Práv Občanů ZEMANOVCI,13,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
10,171,0.06,STOP,14,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
10,38866,14.34,TOP 09,15,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
10,20110,7.42,Křesť.demokr.unie-Čs.str.lid.,17,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
10,1414,0.52,Volte Pr.Blok www.cibulka.net,18,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
10,4551,1.68,Strana zelených,20,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
10,8393,3.09,Suverenita-blok J.Bobošíkové,21,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
10,2306,0.85,Česká pirátská strana,23,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
10,2290,0.84,Dělnic.str.sociální spravedl.,24,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
10,2248,0.82,Strana svobodných občanů,25,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
10,46657,17.22,Občanská demokratická strana,26,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=10
11,1385,0.23,OBČANÉ.CZ,1,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,58251,9.75,Věci veřejné,4,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,467,0.07,Konzervativní strana,5,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,69577,11.65,Komunistická str.Čech a Moravy,6,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,786,0.13,Koruna Česká (monarch.strana),7,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,139476,23.35,Česká str.sociálně demokrat.,9,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,4795,0.80,Moravané,12,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,25214,4.22,Strana Práv Občanů ZEMANOVCI,13,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,248,0.04,STOP,14,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,91433,15.31,TOP 09,15,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,50000,8.37,Křesť.demokr.unie-Čs.str.lid.,17,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,2175,0.36,Volte Pr.Blok www.cibulka.net,18,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,442,0.07,Česká str.národ.socialistická,19,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,14028,2.34,Strana zelených,20,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,15588,2.61,Suverenita-blok J.Bobošíkové,21,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,4356,0.72,Česká pirátská strana,23,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,5095,0.85,Dělnic.str.sociální spravedl.,24,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,3499,0.58,Strana svobodných občanů,25,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
11,110321,18.47,Občanská demokratická strana,26,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=11
12,819,0.25,OBČANÉ.CZ,1,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,37429,11.62,Věci veřejné,4,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,308,0.09,Konzervativní strana,5,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,42438,13.18,Komunistická str.Čech a Moravy,6,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,802,0.24,Koruna Česká (monarch.strana),7,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,78786,24.47,Česká str.sociálně demokrat.,9,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,2805,0.87,Moravané,12,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,14454,4.49,Strana Práv Občanů ZEMANOVCI,13,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,187,0.05,STOP,14,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,43516,13.51,TOP 09,15,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,18041,5.60,Křesť.demokr.unie-Čs.str.lid.,17,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,1371,0.42,Volte Pr.Blok www.cibulka.net,18,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,5805,1.80,Strana zelených,20,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,12024,3.73,Suverenita-blok J.Bobošíkové,21,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,2593,0.80,Česká pirátská strana,23,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,3913,1.21,Dělnic.str.sociální spravedl.,24,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,1811,0.56,Strana svobodných občanů,25,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
12,54769,17.01,Občanská demokratická strana,26,http://volby.cz/pls/ps2010/ps311?xjazyk=CZ&xkraj=12
